NAME,ORIGIN,RACE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Massachusetts,2,5,2463,2593,2611,2666,2857,2908,2920,3103,3242,3360,3491
Massachusetts,2,6,11852,13086,14264,15521,16786,18158,19642,21202,22959,24651,25892
Michigan,1,0,9625400,9647503,9658574,9671575,9674165,9658452,9632423,9588891,9525963,9472168,9439023
Michigan,1,1,7852231,7853460,7847234,7842358,7830924,7804601,7770312,7723960,7663723,7610596,7568520
Michigan,1,2,1411801,1417451,1419151,1420900,1421343,1418998,1415804,1409450,1398856,1389844,1389162
Michigan,1,3,54194,54249,54443,54681,54814,54884,54899,54799,54633,54557,54981
Michigan,1,4,180970,190295,199634,209494,216785,223807,229239,232816,235366,237670,240658
Michigan,1,5,2237,2303,2333,2323,2336,2311,2337,2333,2321,2323,2280
Michigan,1,6,123967,129745,135779,141819,147963,153851,159832,165533,171064,177178,183422
Michigan,2,0,327050,343617,357136,369577,381150,392685,403658,412393,420926,429423,438551
Michigan,2,1,291467,305019,315542,325118,333888,342569,350296,355991,361401,366004,371880
