REGION,DIVISION,STATE,NAME,RACE,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010
2,4,31,Nebraska,5,1012,1128,1241,1284,1380,1511,1645,1723,1881,2025,2057
2,4,31,Nebraska,6,16673,18043,19322,20754,22304,23783,25491,27199,28954,30919,32780
4,8,32,Nevada,0,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2704642
4,8,32,Nevada,1,1697938,1751909,1801308,1850553,1915799,1968095,2022570,2067437,2092646,2104015,2108641
4,8,32,Nevada,2,141698,150616,159264,167550,178908,190486,203042,213754,222366,228060,231613
4,8,32,Nevada,3,28597,30026,31282,32660,34325,35926,37794,39855,41322,42338,43095
4,8,32,Nevada,4,95554,105307,115869,126276,138751,152235,166609,180039,190639,197944,204483
4,8,32,Nevada,5,9353,10317,11317,12244,13299,14399,15687,16858,18077,18775,19380
4,8,32,Nevada,6,45601,50224,54751,59567,65140,71002,76956,83129,88580,93533,97430
1,1,33,New Hampshire,0,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316759
1,1,33,New Hampshire,1,1199618,1211196,1221276,1228935,1236305,1241585,1248429,1250276,1250859,1249055,1248246
1,1,33,New Hampshire,2,9980,11031,11784,12493,13224,13888,14737,15121,15739,16108,16351
1,1,33,New Hampshire,3,3088,3221,3279,3377,3400,3443,3551,3582,3675,3619,3491
1,1,33,New Hampshire,4,16560,18509,20209,21664,23004,24510,25579,26672,27743,28568,29024
1,1,33,New Hampshire,5,407,466,489,496,493,507,512,503,510,568,524
1,1,33,New Hampshire,6,10229,11094,12052,12875,13695,14559,15581,16386,17380,18184,19123
1,2,34,New Jersey,0,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8801624
1,2,34,New Jersey,1,6593966,6606138,6617979,6622522,6615292,6595551,6571143,6550031,6542862,6543428,6549429
1,2,34,New Jersey,2,1214799,1225586,1235091,1243880,1250367,1253750,1256590,1259993,1264816,1274062,1284377
1,2,34,New Jersey,3,24509,26697,29059,31252,33579,36024,38230,40834,43537,47046,50130
1,2,34,New Jersey,4,499861,530003,559494,586091,610994,635570,657689,681789,706964,729996,749675
1,2,34,New Jersey,5,5750,5977,6264,6442,6486,6812,6950,7059,7236,7593,7787
1,2,34,New Jersey,6,91736,98270,104756,111215,117843,124267,131077,138179,145675,153477,160226
4,8,35,New Mexico,0,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2065932
4,8,35,New Mexico,1,1555012,1558945,1575099,1590445,1609492,1631078,1654067,1674570,1687600,1704855,1726766
4,8,35,New Mexico,2,38255,39240,40480,41351,42590,43575,44804,45995,46536,47952,49140
4,8,35,New Mexico,3,178825,182434,185548,188600,191406,193882,196074,199158,202878,206560,209287
4,8,35,New Mexico,4,21329,21670,22828,23919,25080,26239,27400,28348,29262,30303,31384
4,8,35,New Mexico,5,2124,2247,2360,2436,2519,2565,2757,2798,2934,3106,3139
4,8,35,New Mexico,6,25659,27154,28994,30823,32721,34935,37035,39201,41452,44026,46216
1,2,36,New York,0,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19392283
1,2,36,New York,1,14162802,14171067,14159311,14139520,14092313,14009676,13933304,13899597,13896947,13902265,13901240
1,2,36,New York,2,3352839,3362588,3367218,3366096,3354749,3343142,3334119,3330887,3341092,3358828,3384085
1,2,36,New York,3,103311,110471,118119,125607,133076,140850,148667,156840,166143,176161,183695
1,2,36,New York,4,1115771,1156742,1195846,1231965,1263884,1296714,1330598,1368954,1411744,1451956,1487789
1,2,36,New York,5,16882,17454,18197,18782,19527,20086,20701,21204,22034,23126,24147
1,2,36,New York,6,250175,264516,279109,293969,308018,322142,337242,354853,374476,394730,411327
3,5,37,North Carolina,0,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9561558
3,5,37,North Carolina,1,6019940,6099850,6168788,6221883,6301196,6396990,6534975,6661931,6778908,6856459,6912931
3,5,37,North Carolina,2,1761665,1788451,1814581,1836358,1864749,1896346,1941888,1985772,2029922,2064933,2096403
3,5,37,North Carolina,3,103736,107849,111873,115968,120041,124227,129021,133779,138444,143564,148263
3,5,37,North Carolina,4,119791,128581,136626,145242,153875,164001,175356,187259,199098,208558,217380
3,5,37,North Carolina,5,4894,5393,5784,6175,6750,7127,7786,8388,9063,9601,10382
3,5,37,North Carolina,6,71588,79998,88549,96875,106541,116716,128244,140908,154014,166451,176199
2,4,38,North Dakota,0,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674499
2,4,38,North Dakota,1,596394,591964,589576,588683,592452,592012,593469,595177,598020,603186,610645
2,4,38,North Dakota,2,4167,4568,4955,5277,5844,6380,6708,6986,7325,8166,8252
2,4,38,North Dakota,3,31455,31785,32247,32700,33345,33813,34592,35179,35837,36375,37032
2,4,38,North Dakota,4,3751,4099,4356,4599,4983,5282,5580,6001,6273,6525,7053
2,4,38,North Dakota,5,234,257,274,264,292,301,312,332,307,326,353
2,4,38,North Dakota,6,6022,6389,6760,7294,7789,8301,8761,9147,9807,10390,11164
2,3,39,Ohio,0,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11536182
2,3,39,Ohio,1,9752216,9748013,9740972,9739773,9731678,9715818,9706701,9698184,9686422,9675738,9659665
2,3,39,Ohio,2,1321574,1335348,1348039,1359820,1369741,1380184,1391674,1402901,1412676,1421031,1429211
2,3,39,Ohio,3,25652,26127,26471,26786,27003,27437,27800,28341,28959,29064,29760
2,3,39,Ohio,4,137192,143002,149626,157159,163687,170582,176294,181867,187347,192333,197592
2,3,39,Ohio,5,3177,3398,3651,3781,4091,4252,4573,4853,5068,5187,5388
2,3,39,Ohio,6,123732,131516,139130,147469,156051,165047,174171,184322,194919,205543,214566
3,7,40,Oklahoma,0,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3761702
3,7,40,Oklahoma,1,2721397,2722405,2730507,2733754,2740106,2749192,2774199,2794958,2810940,2836043,2857956
3,7,40,Oklahoma,2,264137,265290,266755,266870,268228,269299,273147,276157,277236,281437,285399
3,7,40,Oklahoma,3,276836,281053,286074,291188,296022,301766,308955,315592,322816,330302,336996
3,7,40,Oklahoma,4,48550,50109,52000,53727,55141,56350,58332,60644,62838,65402,67566
3,7,40,Oklahoma,5,2700,2929,3270,3379,3733,3882,4205,4429,4776,4953,5385
3,7,40,Oklahoma,6,140745,145314,150474,155974,162003,168108,175252,182569,190370,199435,208400
4,9,41,Oregon,0,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3838957
4,9,41,Oregon,1,3132686,3158673,3191365,3214075,3226562,3256775,3299010,3335150,3366833,3391395,3408941
