,YEAR,STATE,AGE,STD,Population,"STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)"
459,2013,Alabama,0-14,439.0,1260699.0,34.82195194887915,-360.24102371866627
460,2013,Alabama,15-19,11956.0,1260699.0,948.3627733503398,553.2997976827944
461,2013,Alabama,under 19,12395.0,1260699.0,983.1847252992188,588.1217496316734
462,2013,Alaska,0-14,49.0,208169.0,23.53856722182457,-371.52440844572084
463,2013,Alaska,15-19,1431.0,208169.0,687.4222386618565,292.35926299431105
464,2013,Alaska,under 19,1480.0,208169.0,710.960805883681,315.8978302161356
465,2013,Arizona,0-14,243.0,1806975.0,13.447889428464698,-381.6150862390807
466,2013,Arizona,15-19,9203.0,1806975.0,509.3042239101261,114.2412482425807
467,2013,Arizona,under 19,9446.0,1806975.0,522.7521133385907,127.68913767104527
468,2013,Arkansas,0-14,195.0,792971.0,24.591063229298424,-370.471912438247
469,2013,Arkansas,15-19,6143.0,792971.0,774.6815457311807,379.6185700636353
470,2013,Arkansas,under 19,6338.0,792971.0,799.2726089604791,404.20963329293374
471,2013,California,0-14,1083.0,10360532.0,10.453131171256455,-384.60984449628893
472,2013,California,15-19,42293.0,10360532.0,408.2126284634805,13.149652795935083
473,2013,California,under 19,43376.0,10360532.0,418.6657596347369,23.6027839671915
474,2013,Colorado,0-14,162.0,1369698.0,11.827424731583166,-383.23555093596224
475,2013,Colorado,15-19,5782.0,1369698.0,422.1368506050239,27.07387493747848
476,2013,Colorado,under 19,5944.0,1369698.0,433.9642753366071,38.9012996690617
477,2013,Connecticut,0-14,147.0,910092.0,16.152213182843052,-378.91076248470233
478,2013,Connecticut,15-19,4207.0,910092.0,462.2609582327941,67.19798256524871
479,2013,Connecticut,under 19,4354.0,910092.0,478.41317141563707,83.35019574809166
480,2013,Delaware,0-14,41.0,231982.0,17.673785035045825,-377.38919063249955
481,2013,Delaware,15-19,1829.0,231982.0,788.4232397341174,393.360264066572
482,2013,Delaware,under 19,1870.0,231982.0,806.0970247691632,411.0340491016178
483,2013,District of Columbia,0-14,166.0,129365.0,128.31909712828045,-266.743878539265
484,2013,District of Columbia,15-19,2500.0,129365.0,1932.516523016272,1537.4535473487267
485,2013,District of Columbia,under 19,2666.0,129365.0,2060.835620144552,1665.772644477007
486,2013,Florida,0-14,783.0,4499459.0,17.402092118185763,-377.66088354935965
487,2013,Florida,15-19,25134.0,4499459.0,558.6004895255186,163.53751385797318
488,2013,Florida,under 19,25917.0,4499459.0,576.0025816437043,180.93960597615887
489,2013,Georgia,0-14,699.0,2784461.0,25.10360173836157,-369.9593739291838
490,2013,Georgia,15-19,18960.0,2784461.0,680.9217295555585,285.8587538880131
491,2013,Georgia,under 19,19659.0,2784461.0,706.0253312939201,310.9623556263747
492,2013,Hawaii,0-14,54.0,338128.0,15.970283442956514,-379.09269222458886
493,2013,Hawaii,15-19,1495.0,338128.0,442.140254578148,47.077278910602615
494,2013,Hawaii,under 19,1549.0,338128.0,458.1105380211045,63.0475623535591
495,2013,Idaho,0-14,55.0,472156.0,11.648692381331593,-383.4142832862138
496,2013,Idaho,15-19,1583.0,472156.0,335.2705461754166,-59.792429492128804
497,2013,Idaho,under 19,1638.0,472156.0,346.9192385567482,-48.14373711079719
498,2013,Illinois,0-14,937.0,3451129.0,27.15053537552494,-367.91244029202045
499,2013,Illinois,15-19,25263.0,3451129.0,732.0213182410741,336.95834257352874
500,2013,Illinois,under 19,26200.0,3451129.0,759.171853616599,364.10887794905364
501,2013,Indiana,0-14,319.0,1791145.0,17.80983672455329,-377.2531389429921
502,2013,Indiana,15-19,10330.0,1791145.0,576.7260607041865,181.66308503664106
503,2013,Indiana,under 19,10649.0,1791145.0,594.5358974287396,199.47292176119424
504,2013,Iowa,0-14,102.0,817853.0,12.471678895840697,-382.5912967717047
505,2013,Iowa,15-19,3477.0,817853.0,425.137524714099,30.074549046553614
506,2013,Iowa,under 19,3579.0,817853.0,437.6092036099397,42.546227942394296
507,2013,Kansas,0-14,94.0,809471.0,11.612522252186922,-383.4504534153585
508,2013,Kansas,15-19,3623.0,809471.0,447.5762565922683,52.51328092472289
509,2013,Kansas,under 19,3717.0,809471.0,459.1887788444552,64.12580317690981
510,2013,Kentucky,0-14,228.0,1139507.0,20.00865286479153,-375.05432280275386
511,2013,Kentucky,15-19,6049.0,1139507.0,530.8436016628243,135.7806259952789
512,2013,Kentucky,under 19,6277.0,1139507.0,550.8522545276159,155.78927886007045
513,2013,Louisiana,0-14,496.0,1244924.0,39.84178953895981,-355.2211861285856
514,2013,Louisiana,15-19,12065.0,1244924.0,969.13546529748,574.0724896299346
515,2013,Louisiana,under 19,12561.0,1244924.0,1008.9772548364398,613.9142791688944
516,2013,Maine,0-14,29.0,305325.0,9.49807582084664,-385.5648998466988
517,2013,Maine,15-19,965.0,305325.0,316.0566609350692,-79.0063147324762
518,2013,Maine,under 19,994.0,305325.0,325.5547367559158,-69.50823891162958
519,2013,Maryland,0-14,471.0,1513366.0,31.12267620654885,-363.9402994609965
520,2013,Maryland,15-19,9588.0,1513366.0,633.5546060900007,238.49163042245527
521,2013,Maryland,under 19,10059.0,1513366.0,664.6772822965496,269.6143066290042
522,2013,Massachusetts,0-14,127.0,1616482.0,7.85656753369354,-387.2064081338519
523,2013,Massachusetts,15-19,5363.0,1616482.0,331.7698557732162,-63.29311989432921
524,2013,Massachusetts,under 19,5490.0,1616482.0,339.6264233069097,-55.43655236063569
525,2013,Michigan,0-14,685.0,2598993.0,26.35636186784651,-368.7066137996989
526,2013,Michigan,15-19,17624.0,2598993.0,678.1087905969734,283.04581492942805
527,2013,Michigan,under 19,18309.0,2598993.0,704.4651524648201,309.4021767972747
