"State, Year",abortion_rate,birth_rate,pregnancy_rate,"HIV Rate per 100,000","STD Rate per 100,000 People"
"North Dakota, 2008",7.7,28.3,42.5,0,
"Ohio, 2008",13.8,39.5,62.6,12.2,
"Oklahoma, 2008",9.3,57.8,79.6,10.1,
"Oregon, 2008",16.1,35.6,60.4,5.8,
"Pennsylvania, 2008",17.8,30.4,56.1,14.9,
"Rhode Island, 2008",18.5,27.6,53.5,7.7,
"South Carolina, 2008",13.9,51.2,76.7,21.5,
"South Dakota, 2008",5.5,39.1,52.9,0.7,
"Tennessee, 2008",11.9,52.2,75.7,22.3,
"Texas, 2008",14.5,60.7,88.7,20.2,
"Utah, 2008",5.8,34.6,47.9,3.1,
"Vermont, 2008",12.8,20.3,38.5,0,
"Virginia, 2008",15.4,32.5,56,17.6,
"Washington, 2008",19.4,32.8,60.7,7.4,
"West Virginia, 2008",7.7,46.9,64.7,4.6,
"Wisconsin, 2008",8.1,30.3,45.2,6.1,
"Wyoming, 2008",9.9,47.5,67.8,3.2,
"Alabama, 2009",10.2,48.3,69.2,24.7,
"Alaska, 2009",14.1,43.2,67.3,2.3,
"Arizona, 2009",11.8,48.6,71.3,9.1,
"Arkansas, 2009",9.1,57.8,79.5,14.1,
"California, 2009",22.7,34.9,66.9,12.8,
"Colorado, 2009",14.2,37.7,60.8,7.2,
"Connecticut, 2009",23.1,21.2,50.8,9.8,
"Delaware, 2009",26.3,33.5,69.1,26.2,
"District of Columbia, 2009",38.2,48.5,100.2,110,
"Florida, 2009",21.7,36.6,67.8,30.7,
"Georgia, 2009",15,47,72.9,38,
"Hawaii, 2009",23.8,37,70.6,6.9,
"Idaho, 2009",7.5,35.9,51.3,2.6,
"Illinois, 2009",17.6,35.9,62.4,19,
"Indiana, 2009",8.2,40.8,58,10.3,
"Iowa, 2009",10,32.1,49.5,4.2,
"Kansas, 2009",7.4,42.7,59.4,6,
"Kentucky, 2009",7.1,49.7,67.5,9.6,
"Louisiana, 2009",13,51.7,76.4,35.2,
"Maine, 2009",10.7,24,40.5,5,
"Maryland, 2009",22.4,30.7,61.5,33.3,
"Massachusetts, 2009",16,19.5,41,7.5,
"Michigan, 2009",16.7,31.9,56.7,12.9,
"Minnesota, 2009",9.1,24.1,39,10.8,
"Mississippi, 2009",10.2,62.2,85.9,27.1,
"Missouri, 2009",10.2,40.6,59.9,14.5,
"Montana, 2009",10.8,38.4,57.9,3.6,
"Nebraska, 2009",6.6,34.8,49,7.5,
"Nevada, 2009",21.9,44,76.8,15.4,
"New Hampshire, 2009",9,16.4,29.6,1.4,
"New Jersey, 2009",25,22,54,16.2,
"New Mexico, 2009",16.2,60.3,90.3,6.5,
"New York, 2009",35.5,24.2,68.1,23.1,
"North Carolina, 2009",13.8,43.7,67.5,20.5,
"North Dakota, 2009",7.1,28.7,42.2,0.8,
"Ohio, 2009",12.6,37.9,59.4,14.3,
"Oklahoma, 2009",9.1,57.4,78.9,11.2,
"Oregon, 2009",14.2,32.5,54.6,4.8,
"Pennsylvania, 2009",16.4,28.7,52.5,16.6,
"Rhode Island, 2009",16.4,25.8,48.9,12.8,
"South Carolina, 2009",14,47,71.8,23.6,
"South Dakota, 2009",5.5,38.7,52.4,0,
"Tennessee, 2009",10.8,48.4,69.9,19.8,
"Texas, 2009",13.6,57.9,84.5,22.8,
"Utah, 2009",4.9,30.7,42.2,2.9,
"Vermont, 2009",10.4,17.3,32.2,5.5,
"Virginia, 2009",14.8,30.4,52.8,17.6,
"Washington, 2009",17.7,30.4,55.9,7.5,
"West Virginia, 2009",8.9,48.2,67.6,3.6,
"Wisconsin, 2009",7.6,29.4,43.7,6.9,
"Wyoming, 2009",8.9,43.4,61.8,4.2,
"Alabama, 2010",9.1,44,62.8,23.6,680.9271093
"Alaska, 2010",16.9,38.5,64.8,3.9,616.2750281
"Arizona, 2010",9.1,42,60.5,9,347.9758963
"Arkansas, 2010",8.8,52.7,72.9,10.8,638.6908607
"California, 2010",20.2,31.7,60.3,14.1,303.6468785
"Colorado, 2010",12.5,33.4,53.9,8.8,343.7791998
"Connecticut, 2010",20,18.4,44.1,9,332.8752251
"Delaware, 2010",28.2,30.7,67.9,17.3,568.1353539
